"volsdepart","volsdepartcode","volsarrivee","volsarriveecode","volsdist","volstrain3h","volstrain6h"
"Bordeaux/Mérignac","BOD","Bordeaux/Mérignac","BOD",0,,
"Brazzaville","BZV","Ouesso","BZV",0,,
"New Delhi ","DEL","Dehradun","DED",417,"Non","Oui"
"Montpellier/Méditerranée","MPL","Toulouse","TLS",419,"Oui","Oui"
"Vientiane","VTE","Luang Prabang","LPQ",433,"Non","Non"
"Kathmandu","KTM","Biratnagar","BIR",464,"Non","Non"
"Beyrouth, Liban","BEY","Amman, Jordanie","AMM",477,"Non","Non"
"Montpellier/Méditerranée","MPL","Nice","NCE",525,"Non","Parfois"
"Lyon","LYS","Sesto","MXP",568,"Non","Oui"
"Lyon","LYS","Nice","NCE",571,"Non","Oui"
"Limoges","LIG","Lyon","LYS",606,"Non","Parfois"
"Lyon","LYS","Limoges/Bellegarde","LIG",606,"Non","Parfois"
"Toulouse/Blagnac","TLS","Marseille","MRS",624,"Non","Oui"
"Marseille","MRS","Toulouse/Blagnac","TLS",624,"Non","Oui"
"São Paulo","GRU","Rio De Janeiro","GIG",674,"Non","Non"
"Marseille","MRS","Ajaccio","AJA",676,"Non","Non"
"Brest/Guipavas","BES","Bath","BRS",697,"Non","Non"
"Kathmandu","KTM","Jumla","JUM",712,"Non","Non"
"Marseille","MRS","BASTIA","BIA",721,"Non","Non"
"Clermont-Ferrand/Auvergne","CFE","Paris","CDG",724,"Non","Oui"
"Paris","CDG","Clermont-Ferrand/Auvergne","CFE",724,"Non","Oui"
"Strasbourg","SXB","Lyon","LYS",735,"Non","Oui"
"toulouse","TLS","grenoble","GNB",739,"Non","Oui"
"Marseille","MRS","Milan","MXP",740,"Non","Non"
"Paris","CDG","Nantes","NTE",744,"Oui","Oui"
"Metz / Nancy","ETZ","Lyon","LYS",746,"Non","Oui"
"Lyon","LYS","NANCY","ETZ",746,"Non","Oui"
"Lyon","LYS","Toulouse/Blagnac","TLS",751,"Non","Parfois"
"Toulouse/Blagnac","TLS","Lyon","LYS",751,"Non","Parfois"
"Paris","CDG","Strasbourg","SXB",752,"Oui","Oui"
"Paris","CDG","London","LTN",760,"Oui","Oui"
"London","LTN","Paris","CDG",760,"Oui","Oui"
"Lyon ","LYS","Poitiers/Biard","PIS",761,"Non","Oui"
"Poitiers/Biard","PIS","Lyon","LYS",761,"Non","Oui"
"Toulouse/Blagnac","TLS","Toulon/Hyères/Le Palyvestre","TLN",783,"Non","Oui"
"Paris","CDG","Düsseldorf","DUS",786,"Non","Oui"
"Nantes","NTE","Clermont-Ferrand/Auvergne","CFE",793,"Non","Parfois"
"Lille/Lesquin","LIL","Strasbourg","SXB",796,"Non","Oui"
"Montpellier/Méditerranée","MPL","Bordeaux/Mérignac","BOD",797,"Non","Oui"
"Paris","CDG","Amsterdam","AMS",797,"Non","Oui"
"Stockholm","ARN","Helsinki","HEL",798,"Non","Non"
"Paris","CDG","geneve","GVA",816,"Non","Oui"
"Boston","BOS","Montréal","YUL",819,"Non","Non"
"Poitiers/Biard","PIS","Brest/Guipavas","BES",822,"Non","Parfois"
"Cagliari","CAG","Rome","CIA",825,"Non","Non"
"Abidjan","ABJ","Accra","ACC",837,"Non","Non"
"Niamey","NIM","Ouaga","OUA",840,"Non","Non"
"Pau/Pyrénées (Uzein)","PUF","Nantes","NTE",861,"Non","Non"
"Luxembourg","LUX","Munich","MUC",863,"Non","Non"
"Ho-Chi-Minh-Ville/Saïgon","SGN","Quy nhon","UIH",870,"Non","Non"
"Paris","CDG","Bern","BRN",873,"Non","Oui"
"Bale","BSL","Nice","NCE",877,"Non","Non"
"Nice","NCE","Bâle/Mulhouse","BSL",877,"Non","Non"
"Geneva","GVA","Pisa","PSA",882,"Non","Non"
"Montpellier","MPL","Milan","MXP",883,"Non","Non"
"Paris","CDG","Frankfurt am Main","FRA",899,"Non","Oui"
"Boston","BOS","Philadelphia","PHL",901,"Non","Oui"
"Toulouse","TLS","Cannes","CEQ",901,"Non","Non"
"Bordeaux/Mérignac","BOD","Barcelona","BCN",908,"Non","Non"
"Toulouse","TLS","Nantes","NTE",912,"Non","Non"
"Nantes","NTE","Toulouse","TLS",912,"Non","Non"
"Paris","CDG","Bristol","BRS",917,"Non","Oui"
"Bordeaux/Mérignac","BOD","Lyon","LYS",930,"Non","Oui"
"Lyon","LYS","Bordeaux","BOD",930,"Non","Oui"
"Nice","NCE","Toulouse/Blagnac","TLS",943,"Non","Non"
"Toulouse","TLS","Nice","NCE",943,"Non","Non"
"Geneva","GVA","Toulouse/Blagnac","TLS",947,"Non","Non"
"Toulouse","TLS","Geneva","GVA",947,"Non","Non"
"Brest","BES","Cork","ORK",953,"Non","Non"
"Paris","CDG","Zurich","ZRH",954,"Non","Oui"
"Bordeaux","BOD","grenoble","GNB",957,"Non","Non"
"Auckland","AKL","Wellington","WLG",962,"Non","Non"
"Kathmandu","KTM","Dhanghadi ","DHI",966,"Non","Non"
"Toulouse/Blagnac","TLS","valence (espagne)","VLC",972,"Non","Non"
"Nice","NCE","Rome","CIA",972,"Non","Non"
"Paris","CDG","Birmingham","BHX",976,"Non","Oui"
"Lyon","LYS","la Rochelle","LRH",977,"Non","Parfois"
"Bastia/Poretta","BIA","Geneva","GVA",980,"Non","Non"
"Geneva","GVA","Venice","VCE",981,"Non","Non"
"Bordeaux/Mérignac","BOD","Brest/Guipavas","BES",985,"Non","Non"
"Hanoi ","HAN","Vientiane","VTE",990,"Non","Non"
"Marseille","MRS","Fribourg","BSL",992,"Non","Oui"
"Nice","NCE","Barcelona","BCN",994,"Non","Non"
"Lyon","LYS","Bastia/Poretta","BIA",997,"Non","Non"
"Bordeaux","BOD","Marseilles","MRS",998,"Non","Oui"
"Marseille","MRS","Bordeaux","BOD",998,"Non","Oui"
"Limoges/Bellegarde","LIG","Toulon/Hyères/Le Palyvestre","TLN",1000,"Non","Non"
"Lyon","LYS","Bologna","BLQ",1010,"Non","Non"
"Libreville","LBV","Franceville","MVB",1012,"Non","Non"
"Lyon","LYS","Pau/Pyrénées (Uzein)","PUF",1017,"Non","Non"
"Lyon","LYS","Innsbruck, Autriche","INN",1019,"Non","Non"
"Limoges","LIG","Brest","BES",1024,"Non","Non"
"Paris","CDG","Brest/Guipavas","BES",1031,"Non","Oui"
"Brest/Guipavas","BES","Paris","CDG",1031,"Non","Oui"
"Lyon","LYS","Ajaccio/Napoléon Bonaparte","AJA",1036,"Non","Non"
"Poitiers/Biard","PIS","Marseille","MRS",1044,"Non","Oui"
"Paris","CDG","bordeaux","BOD",1055,"Oui","Oui"
"Athens","ATH","Tirana","TIA",1060,"Non","Non"
"Rennes/Saint-Jacques","RNS","Pau/Pyrénées (Uzein)","PUF",1064,"Non","Non"
"Geneva","GVA","Brussels","BRU",1065,"Non","Oui"
"Nantes","NTE","Londres","LTN",1066,"Non","Oui"
"Paris","CDG","lindau","FDH",1072,"Non","Non"
"Nantes","NTE","Lyon","LYS",1074,"Non","Oui"
"Lyon","LYS","Nantes","NTE",1074,"Non","Oui"
"Toulouse","TLS","Madrid","MAD",1075,"Non","Non"
"Bordeaux/Mérignac","BOD","Madrid","MAD",1076,"Non","Non"
"Strasbourg","SXB","Nice","NCE",1088,"Non","Non"
"Nice","NCE","Strasbourg","SXB",1088,"Non","Non"
"Lyon","LYS","Frankfurt am Main","FRA",1091,"Non","Non"
"Francfort","FRA","Lyon","LYS",1091,"Non","Non"
"Marseille","MRS","Biarritz","BIQ",1091,"Non","Non"
"Lyon","LYS","Barcelone","BCN",1098,"Non","Oui"
"Rennes/Saint-Jacques","RNS","Toulouse/Blagnac","TLS",1099,"Non","Non"
"Toulouse/Blagnac","TLS","Rennes/Saint-Jacques","RNS",1099,"Non","Non"
"Belém (Brésil)","BEL","Parauapebas (Brésil)","CKS",1107,"Non","Non"
"bordeaux","BOD","Geneva","GVA",1109,"Non","Non"
"Bâle/Mulhouse","BSL","Amsterdam","AMS",1123,"Non","Non"
"Caen/Carpiquet","CFR","Lyon","LYS",1132,"Non","Oui"
"Lyon","LYS","Padoue","VCE",1133,"Non","Non"
"Bâle/Mulhouse","BSL","Prague","PRG",1133,"Non","Non"
"Brest","BES","Dublin","DUB",1137,"Non","Non"
"Kuwait City","KWI","Doha","DOH",1137,"Non","Non"
"Geneva","GVA","Trieste","TRS",1141,"Non","Non"
"Paris","CDG","Turin","TRN",1147,"Non","Oui"
"Lyon","LYS","Brussels","BRU",1156,"Non","Oui"
"Lyon","LYS","Rennes","RNS",1160,"Non","Oui"
"rennes","RNS","Lyon","LYS",1160,"Non","Oui"
"Lyon","LYS","Munich","MUC",1173,"Non","Non"
"limoges","LIG","Milan","MXP",1173,"Non","Non"
"Lima","LIM","Cusco","CUZ",1173,"Non","Non"
"Paris","CDG","Manchester","MAN",1177,"Non","Oui"
"Nantes","NTE","Montpelliers","MPL",1180,"Non","Non"
"Montpellier","MPL","Nantes","NTE",1180,"Non","Non"
"Brest/Guipavas","BES","Lille/Lesquin","LIL",1182,"Non","Parfois"
"Frankfurt","FRA","Brno","BRQ",1188,"Non","Non"
"Bordeaux","BOD","Valence (Espagne)","VLC",1189,"Non","Non"
"Montpellier/Méditerranée","MPL","Bologna","BLQ",1191,"Non","Non"
"Metz / Nancy","ETZ","Nice","NCE",1194,"Non","Non"
"Strasbourg","SXB","Marseille","MRS",1195,"Non","Oui"
"Marseille","MRS","Strasbourg","SXB",1195,"Non","Oui"
"Paris","CDG","Milan","MXP",1198,"Non","Non"
"Bâle/Mulhouse","BSL","Dresden","DRS",1199,"Non","Non"
"toulouse","TLS","Berne","BRN",1207,"Non","Non"
"Toulouse","TLS","Genova","GOA",1209,"Non","Non"
"Ho Chi Minh City","SGN","danang","DAD",1211,"Non","Non"
"Paris","CDG","Toulouse/Blagnac","TLS",1212,"Non","Oui"
"Toulouse/Blagnac","TLS","Paris","CDG",1212,"Non","Oui"
"Annecy","NCY","Nantes","NTE",1212,"Non","Non"
"Paris","CDG","Castres/Mazamet","DCM",1215,"Non","Parfois"
"Nantes","NTE","Bruxelles","BRU",1219,"Non","Oui"
"Marseille","MRS","Venice","VCE",1222,"Non","Non"
"Paris","CDG","Leeds","LBA",1228,"Non","Oui"
"Montpellier/Méditerranée","MPL","Paris","CDG",1230,"Non","Oui"
"Lyon","LYS","Nuremberg","NUE",1230,"Non","Non"
"orly","CDG","montpellier","MPL",1230,"Non","Oui"
"Nice","NCE","Pau","PUF",1234,"Non","Non"
"MONTPELLIER","MPL","Strasbourg","SXB",1241,"Non","Non"
"Paris","CDG","Nuremberg","NUE",1243,"Non","Non"
"Toulouse/Blagnac","TLS","Milan","MXP",1248,"Non","Non"
"Marseille","MRS","Rome","CIA",1261,"Non","Non"
"Nice","NCE","Munich","MUC",1261,"Non","Non"
"Rome","CIA","Marignane","MRS",1261,"Non","Non"
"Lyon","LYS","Düsseldorf","DUS",1263,"Non","Non"
"Paris","CDG","Hannovre","HAJ",1264,"Non","Non"
"Amsterdam","AMS","Berne","BRN",1264,"Non","Non"
"Caen/Carpiquet","CFR","Toulouse/Blagnac","TLS",1265,"Non","Non"
"Toulouse/Blagnac","TLS","Caen/Carpiquet","CFR",1265,"Non","Non"
"Copenhagen","CPH","Amsterdam","AMS",1268,"Non","Non"
"Toulouse","TLS","Ajaccio/Napoléon Bonaparte","AJA",1273,"Non","Non"
"Nice","NCE","salzburg","SZG",1286,"Non","Non"
"Bordeaux","BOD","Nice","NCE",1291,"Non","Non"
"Nice","NCE","Bordeaux/Mérignac","BOD",1291,"Non","Non"
"Lyon ","LYS"," Salzbourg","SZG",1292,"Non","Non"
"Marseille","MRS","Valence (Esp)","VLC",1295,"Non","Non"
"Lyon","LYS","Trieste","TRS",1303,"Non","Non"
"Toulouse","TLS","Belfort","BSL",1303,"Non","Non"
"Marseille","MRS","Paris","CDG",1307,"Parfois","Oui"
"Paris","CDG","Marseille","MRS",1307,"Parfois","Oui"
"Amsterdam","AMS","Rennes/Saint-Jacques","RNS",1321,"Non","Non"
"Pau/Pyrénées (Uzein)","PUF","Paris","CDG",1335,"Non","Oui"
"Paris","CDG","Pau/Pyrénées (Uzein)","PUF",1335,"Non","Oui"
"Luxembourg","LUX","Nice","NCE",1337,"Non","Non"
"Bastia/Poretta","BIA","Toulouse/Blagnac","TLS",1341,"Non","Non"
"Nantes","NTE","Marseille","MRS",1351,"Non","Non"
"Marseille","MRS","Nantes","NTE",1351,"Non","Non"
"Paris","CDG","Inssbruck","INN",1363,"Non","Non"
"Paris","CDG","Munichi ","MUC",1365,"Non","Parfois"
"Lyon","LYS","Lorient","LRT",1376,"Non","Parfois"
"Lille","LIL","Milan","MXP",1381,"Non","Non"
"Strasbourg","SXB","Castres/Mazamet","DCM",1382,"Non","Non"
"Nantes","NTE","Manchester","MAN",1384,"Non","Non"
"Paris","CDG","Biarritz","BIQ",1385,"Non","Oui"
"Paris","CDG","Nice","NCE",1391,"Non","Parfois"
"Nice","NCE","Paris","CDG",1391,"Non","Parfois"
"Brest/Guipavas","BES","Toulouse/Blagnac","TLS",1395,"Non","Non"
"toulouse","TLS","brest","BES",1395,"Non","Non"
"Paris","CDG","Perpignan/Rivesaltes","PGF",1397,"Non","Oui"
"Perpignan/Rivesaltes","PGF","Paris","CDG",1397,"Non","Oui"
"Montpellier/Méditerranée","MPL","Stuttgart","STR",1397,"Non","Non"
"Bordeaux/Mérignac","BOD","Lille/Lesquin","LIL",1398,"Non","Oui"
"Paris","CDG","Gênes","GOA",1403,"Non","Non"
"Metz / Nancy","ETZ","Bordeaux/Mérignac","BOD",1405,"Non","Oui"
"Toulouse/Blagnac","TLS","Metz / Nancy","ETZ",1408,"Non","Non"
"Metz / Nancy","ETZ","Toulouse/Blagnac","TLS",1408,"Non","Non"
"Toulouse/Blagnac","TLS","zuri","ZRH",1408,"Non","Non"
"Marseille","MRS","Trieste","TRS",1410,"Non","Non"
"dijon","DIJ","barcelonne","BCN",1413,"Non","Non"
"Nantes","NTE","Strasbourg","SXB",1414,"Non","Parfois"
"Beauvais/Tillé","BVA","Bergamo","BGY",1416,"Non","Non"
"Belém (Brésil)","BEL","Santarém (Brésil)","STM",1423,"Non","Non"
"Limoges","LIG","Madrid","MAD",1425,"Non","Non"
"Marse","MRS","Pula (Croatie)","PUY",1426,"Non","Non"
"Paris","CDG","Toulon/Hyères/Le Palyvestre","TLN",1429,"Non","Oui"
"Toulon/Hyères/Le Palyvestre","TLN","Paris","CDG",1429,"Non","Oui"
"Barcelona","BCN","Nantes","NTE",1430,"Non","Non"
"Nantes","NTE","Barcelone","BCN",1430,"Non","Non"
"Nice","NCE","Frankfurt am Main","FRA",1434,"Non","Non"
"graz","GRZ","geneve","GVA",1436,"Non","Non"
"Toulouse/Blagnac","TLS","Pisa","PSA",1454,"Non","Non"
"Paris","CDG","Hamburg","HAM",1457,"Non","Non"
"Hamburg","HAM","Paris","CDG",1457,"Non","Non"
"Strasbourg","SXB","Toulouse/Blagnac","TLS",1459,"Non","Non"
"toulouse","TLS","Strasbourg","SXB",1459,"Non","Non"
"Lyon","LYS","Amsterdam","AMS",1466,"Non","Non"
"Amsterdam","AMS","Lyon","LYS",1466,"Non","Non"
"Montpellier/Méditerranée","MPL","Rome","CIA",1466,"Non","Non"
"Clermont-Ferrand/Auvergne","CFE","Amsterdam","AMS",1470,"Non","Non"
"bucharest","OTP","Kiev","KBP",1475,"Non","Non"
"Paris","CDG","Leipzig","LEJ",1479,"Non","Non"
"Bâle/Mulhouse","BSL","London","LTN",1482,"Non","Non"
"Strasbourg","SXB","Ajaccio/Napoléon Bonaparte","AJA",1484,"Non","Non"
"Lyon","LYS","Rome","CIA",1490,"Non","Non"
"Bordeaux/Mérignac","BOD","Milan","MXP",1491,"Non","Non"
"Nantes","NTE","Torino","TRN",1491,"Non","Non"
"Rennes/Saint-Jacques","RNS","Marseille","MRS",1492,"Non","Non"
"Marseille","MRS","Munich","MUC",1493,"Non","Non"
"Bordeaux/Mérignac","BOD","Luxembourg","LUX",1494,"Non","Parfois"
"Paris","CDG","Verona","VRN",1495,"Non","Oui"
"Lyon","LYS","Southampton","SOU",1502,"Non","Non"
"Marseille","MRS","Alicante","ALC",1504,"Non","Non"
"Nantes","NTE","toulon","TLN",1515,"Non","Non"
"Strasbourg","SXB","Bordeaux/Mérignac","BOD",1517,"Non","Oui"
"Bale","BSL","Rome","CIA",1517,"Non","Non"
"Paris","CDG","Bilbao","BIO",1524,"Non","Non"
"Toulouse/Blagnac","TLS","Valenciennes","XVS",1524,"Non","Non"
"PANAMA","BLB","Bogota","BOG",1527,"Non","Non"
"Alger ","ALG","Montpellier","MPL",1538,"Non","Non"
"Marseille","MRS","Algiers","ALG",1541,"Non","Non"
"Pau/Pyrénées (Uzein)","PUF","Ajaccio/Napoléon Bonaparte","AJA",1544,"Non","Non"
"Bordeaux/Mérignac","BOD","Zurich","ZRH",1544,"Non","Non"
"Caen/Carpiquet","CFR","Marseille","MRS",1545,"Non","Non"
"Marseille","MRS","caen","CFR",1545,"Non","Non"
"Rennes/Saint-Jacques","RNS","Newcastle","NCL",1551,"Non","Non"
"Marseille","MRS","Frankfurt am Main","FRA",1554,"Non","Non"
"Luxembourg","LUX","Vienne (Autriche)","VIE",1554,"Non","Non"
"bordeaux","BOD","Bruxelles","BRU",1558,"Non","Oui"
"Brest/Guipavas","BES","Amsterdam","AMS",1560,"Non","Non"
"Brest/Guipavas","BES","Lyon/Saint Exupery","LYS",1561,"Non","Non"
"Lyon","LYS","Brest/Guipavas","BES",1561,"Non","Non"
"Lille/Lesquin","LIL","Montpellier/Méditerranée","MPL",1561,"Non","Oui"
"Lille","LIL","Toulouse","TLS",1566,"Non","Non"
"Toulouse","TLS","Lille","LIL",1566,"Non","Non"
"Gdansk","GDN","Oslo","OSL",1567,"Non","Non"
"Paris","CDG","Salzburg","SZG",1568,"Non","Non"
"Londres","LTN","Bordeaux/Mérignac","BOD",1570,"Non","Non"
"Bordeaux/Mérignac","BOD","London","LTN",1570,"Non","Non"
"Brussels","BRU","Dublin","DUB",1570,"Non","Non"
"Washington","DCA","Montréal","YUL",1570,"Non","Non"
"Paris","CDG","Dublin","DUB",1572,"Non","Non"
"Nantes","NTE","Nice","NCE",1583,"Non","Non"
"Nice","NCE","Nantes","NTE",1583,"Non","Non"
"Lyon","LYS","London","LTN",1584,"Non","Non"
"Marseille","MRS","Madrid","MAD",1596,"Non","Non"
"Montpellier/Méditerranée","MPL","Frankfurt am Main","FRA",1599,"Non","Non"
"Toulouse","TLS","Bologna","BLQ",1599,"Non","Non"
"Frankfurt am Main","FRA","Kraków","KRK",1602,"Non","Non"
"Montpellier/Méditerranée","MPL","Munich","MUC",1610,"Non","Non"
"Toulouse/Blagnac","TLS","Cagliari","CAG",1610,"Non","Non"
"Metz / Nancy","ETZ","Pau/Pyrénées (Uzein)","PUF",1615,"Non","Non"
"graz","GRZ","Lyon","LYS",1615,"Non","Non"
"Marseille","MRS","Lille","LIL",1619,"Non","Oui"
"Lill","LIL","Marseille","MRS",1619,"Non","Oui"
"cayenne","CAY","belem","BEL",1628,"Non","Non"
"Geneve","GVA","Cagliari","CAG",1628,"Non","Non"
"Berlin","SXF","Vilnius","VNO",1634,"Non","Non"
"Lyon","LYS","Hannover","HAJ",1642,"Non","Non"
"Lyon","LYS","Leipzig","LEJ",1648,"Non","Non"
"toulon","TLN","rennes","RNS",1652,"Non","Non"
"Frankfurt am Main","FRA","gdansk","GDN",1658,"Non","Non"
"Lille","LIL","Nice","NCE",1659,"Non","Non"
"Nice","NCE","Lille/Lesquin","LIL",1659,"Non","Non"
"Paris","CDG","Bologna","BLQ",1662,"Non","Non"
"Nice","NCE","Brussels","BRU",1664,"Non","Non"
"Marseille","MRS","Brussels","BRU",1665,"Non","Oui"
"Bordeaux/Mérignac","BOD","Ajaccio/Napoléon Bonaparte","AJA",1669,"Non","Non"
"Paris","CDG","Dresden","DRS",1669,"Non","Non"
"Paris","CDG","Venice","VCE",1673,"Non","Non"
"Venice","VCE","Paris","CDG",1673,"Non","Non"
"Lyon","LYS","Pragues","PRG",1679,"Non","Non"
"Prague","PRG","Lyon","LYS",1679,"Non","Non"
"Rennes","RNS","Milan","MXP",1682,"Non","Non"
"Toulouse/Blagnac","TLS","Bruxelles","BRU",1686,"Non","Non"
"Paris","CDG","Cork","ORK",1686,"Non","Non"
"Montpellier/Méditerranée","MPL","Brest/Guipavas","BES",1688,"Non","Non"
"Paris","CDG","Pisa","PSA",1690,"Non","Non"
"Pisa","PSA","Paris","CDG",1690,"Non","Non"
"Marseille","MRS","Tunis","TUN",1695,"Non","Non"
"Nice","NCE","Rennes","RNS",1698,"Non","Non"
"rennes","RNS","Nice","NCE",1698,"Non","Non"
"Caen/Carpiquet","CFR","Nice","NCE",1699,"Non","Non"
"Kuwait City","KWI","Abou Dhabi","AUH",1703,"Non","Non"
"Lyon","LYS","Zagreb","ZAG",1706,"Non","Non"
"Paris","CDG","Prague","PRG",1707,"Non","Non"
"Prague","PRG","Paris","CDG",1707,"Non","Non"
"Montpellier","MPL","Nuremberg","NUE",1709,"Non","Non"
"Luxe","LUX","Zagreb","ZAG",1710,"Non","Non"
"Lyon","LYS","Bremen","BRE",1716,"Non","Non"
"Paris","CDG","Berlin","SXF",1717,"Non","Non"
"Berlin","SXF","Paris","CDG",1717,"Non","Non"
"Paris","CDG","Barcelona","BCN",1719,"Non","Non"
"Barcelona","BCN","Paris","CDG",1719,"Non","Non"
"Nantes","NTE","Porto","OPO",1731,"Non","Non"
"Luxembourg","LUX","Aalborg","AAL",1731,"Non","Non"
"São Paulo","GRU","Porto Alegre","POA",1733,"Non","Non"
"Toulouse","TLS","Exeter","EXT",1738,"Non","Non"
"Brest/Guipavas","BES","Porto","OPO",1738,"Non","Non"
"Changchun","CGQ","Pékin","PEK",1738,"Non","Oui"
"Paris","CDG","Edimbourg","EDI",1739,"Non","Non"
"Paris","CDG","Belfast","BFS",1739,"Non","Non"
"Belfast","BFS","Paris","CDG",1739,"Non","Non"
"Gerone","GRO","Baden-Baden","FKB",1742,"Non","Non"
"Nice","NCE","Vienna","VIE",1754,"Non","Non"
"Lyon","LYS","Dresde","DRS",1757,"Non","Non"
"Bâle/Mulhouse","BSL","Budapest","BUD",1763,"Non","Non"
"Montpellier","MPL","Eindhoven","EIN",1766,"Non","Non"
"Barcelone (Espagne)","BCN","Saint-Jacques de Compostelle","SCQ",1768,"Non","Non"
"Marseille","MRS","Palermo","PMO",1768,"Non","Non"
"Lyon","LYS","Cardiff","CWL",1768,"Non","Non"
"Marseille","MRS","Lannion","LAI",1787,"Non","Non"
"Pisa","PSA","Bordeaux/Mérignac","BOD",1788,"Non","Non"
"Nice","NCE","Prague","PRG",1789,"Non","Non"
"Paris","CDG","Trieste","TRS",1790,"Non","Non"
"Paris","CDG","Gijon","OVD",1791,"Non","Non"
"Marseille","MRS","croatie","ZAG",1793,"Non","Non"
"Paris","CDG","Glasgow","GLA",1795,"Non","Non"
"Paris Orly","CDG","Bastia/Poretta","BIA",1795,"Non","Non"
"bastia","BIA","Paris","CDG",1795,"Non","Non"
"Lyon","LYS","Birmingham","BHX",1797,"Non","Non"
"Toulouse","TLS","Francfort","FRA",1798,"Non","Non"
"gothenbourg","GOT","liege","LGG",1798,"Non","Non"
"Clermont-Ferrand/Auvergne","CFE","Bremen","BRE",1808,"Non","Non"
"Strasbourg","SXB","Biarritz/Anglet/Bayonne","BIQ",1809,"Non","Non"
"Brussels","BRU","Gothenburg","GOT",1812,"Non","Non"
"Brussels","BRU","Graz","GRZ",1821,"Non","Non"
"Lyon","LYS","Vienna","VIE",1824,"Non","Non"
"Lyon","LYS","Madrid","MAD",1826,"Non","Non"
"Madrid","MAD","Lyon","LYS",1826,"Non","Non"
"Toulouse","TLS","Cologne","CGN",1831,"Non","Non"
"Strasbourg","SXB","Barcelona","BCN",1833,"Non","Non"
"Montpellier","MPL","Tunis","TUN",1836,"Non","Non"
"Lyon","LYS","Nápoli","NAP",1839,"Non","Non"
"Mulhouse (avant train)","BSL","Tarente (train de Naples)","NAP",1840,"Non","Non"
"Lyon","LYS","split","SPU",1841,"Non","Non"
"Marseille","MRS","Brighton","ESH",1845,"Non","Non"
"Geneva","GVA","valence","VLC",1846,"Non","Oui"
"Bordeaux/Mérignac","BOD","Amsterdam","AMS",1849,"Non","Non"
"ajaccio","AJA","Paris","CDG",1854,"Non","Non"
"Paris","CDG","ajaccio","AJA",1854,"Non","Non"
"Toulouse/Blagnac","TLS","London","LTN",1854,"Non","Non"
"Split","SPU","Leipzig","LEJ",1858,"Non","Non"
"Brest/Guipavas","BES","Marseille","MRS",1861,"Non","Non"
"Marseille","MRS","Brest/Guipavas","BES",1861,"Non","Non"
"Bâle/Mulhouse","BSL","Kraków","KRK",1877,"Non","Non"
